,Unnamed: 0,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Y,Sex_F,Sex_I,Sex_M
0,0,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15,False,False,True
1,1,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7,False,False,True
2,2,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9,True,False,False
3,3,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10,False,False,True
4,4,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,7,False,True,False
5,5,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,8,False,True,False
7,7,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,16,True,False,False
8,8,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9,False,False,True
10,10,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,14,True,False,False
11,11,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10,False,False,True
12,12,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11,False,False,True
13,13,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,10,True,False,False
14,14,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,10,True,False,False
15,15,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,12,False,False,True
16,16,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,7,False,True,False
17,17,0.44,0.34,0.1,0.451,0.188,0.087,0.13,10,True,False,False
18,18,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,7,False,False,True
19,19,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9,False,False,True
20,20,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,11,False,False,True
21,21,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,10,False,True,False
22,22,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,12,True,False,False
23,23,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9,True,False,False
24,24,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10,True,False,False
25,25,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,11,True,False,False
26,26,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,11,True,False,False
27,27,0.59,0.445,0.14,0.931,0.356,0.234,0.28,12,False,False,True
28,28,0.605,0.475,0.18,0.9365,0.394,0.219,0.295,15,False,False,True
29,29,0.575,0.425,0.14,0.8635,0.393,0.227,0.2,11,False,False,True
30,30,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10,False,False,True
31,31,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,15,True,False,False
34,34,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13,True,False,False
35,35,0.465,0.355,0.105,0.4795,0.227,0.124,0.125,8,False,False,True
36,36,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,16,True,False,False
37,37,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8,True,False,False
38,38,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,11,True,False,False
39,39,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,9,False,False,True
40,40,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,9,True,False,False
41,41,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,14,True,False,False
42,42,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,5,False,True,False
43,43,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5,False,True,False
45,45,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,7,False,True,False
